ESNTL_ID,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ROAD_NM_ADDR,LNM_ADDR
KCOWRPO23N000007222,자연_공원,구암,서울특별시,강서구,서울특별시 강서구 허준로5길 42 (가양동),서울특별시 강서구 가양동 1471 허준공원관리사무실
KCOWRPO23N000007223,자연_공원,공암나루,서울특별시,강서구,서울특별시 강서구 강서로80길 117 (가양동),서울특별시 강서구 가양동 1459-9 가양공원관리사무실
KCOWRPO23N000007224,자연_공원,등마루,서울특별시,강서구,서울특별시 강서구 까치산로28길 33-15 (화곡동),서울특별시 강서구 화곡동 산199-1
KCOWRPO23N000007239,자연_공원,솔밭근린공원,서울특별시,강북구,서울특별시 강북구 삼양로 561 (우이동),서울특별시 강북구 우이동 80 솔밭공원 관리실및화장실
KCOWRPO23N000007247,자연_공원,흰구름,서울특별시,강북구,"서울특별시 강북구 한천로160길 19-6 (수유동, 대원아트빌)",서울특별시 강북구 수유동 252-16 대원아트빌
KCOWRPO23N000007248,자연_공원,상산,서울특별시,강북구,서울특별시 강북구 노해로8길 23 (수유동),서울특별시 강북구 수유동 224-4 상산경로당
KCOWRPO23N000007250,자연_공원,은모루,서울특별시,강북구,서울특별시 강북구 도봉로95길 48 (수유동),서울특별시 강북구 수유동 172-209 은모루어린이공원 공중화장실
KCOWRPO23N000007251,자연_공원,희망,서울특별시,강북구,서울특별시 강북구 한천로143길 16 (수유동),서울특별시 강북구 수유동 194-41
KCOWRPO23N000007252,자연_공원,흰구름,서울특별시,강북구,서울특별시 강북구 노해로23길 58 (수유동),서울특별시 강북구 수유동 252-19 수유2동 경로당
KCOWRPO23N000007253,자연_공원,색동,서울특별시,강북구,서울특별시 강북구 삼양로80나길 52 (수유동),서울특별시 강북구 수유동 49-7 색동공원공영주차장
KCOWRPO23N000007261,자연_공원,조마,서울특별시,금천구,서울특별시 금천구 시흥대로149가길 6 (가산동),서울특별시 금천구 가산동 148-11 가산매봉노인정
KCOWRPO23N000007262,자연_공원,금천폭포공원,서울특별시,금천구,서울특별시 금천구 시흥대로38길 61 (시흥동),서울특별시 금천구 시흥동 937-2 금천문화원
KCOWRPO23N000007263,자연_공원,독산근린공원,서울특별시,금천구,서울특별시 금천구 범안로 1096 (독산동),서울특별시 금천구 독산동 1086
KCOWRPO23N000007266,자연_공원,금천체육공원,서울특별시,금천구,서울특별시 금천구 독산로54길 102-27 (독산동),서울특별시 금천구 독산동 산118-4
KCOWRPO23N000007267,자연_공원,산기슭공원,서울특별시,금천구,서울특별시 금천구 독산로54길 6 (시흥동),서울특별시 금천구 시흥동 산138-3
