ESNTL_ID,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ROAD_NM_ADDR,LNM_ADDR
KCOEFPO23N000000752,문화시설_교육_시니어,APLUS원격평생교육원,서울특별시,용산구,서울특별시 용산구 청파로45길 19 (청파동3가),서울특별시 용산구 청파동3가 29-14 복조빌딩
KCOEFPO23N000000753,문화시설_교육_시니어,KBS시큐리티평생교육원,서울특별시,영등포구,서울특별시 영등포구 여의공원로 13 (여의도동),서울특별시 영등포구 여의도동 18 한국방송공사
KCOEFPO23N000000758,문화시설_교육_시니어,마스터원격평생교육원,서울특별시,마포구,서울특별시 마포구 동교로 142-7 (서교동),서울특별시 마포구 서교동 463-30
KCOEFPO23N000000760,문화시설_교육_시니어,아이티평생교육원,서울특별시,강남구,서울특별시 강남구 논현로85길 46 (역삼동),서울특별시 강남구 역삼동 735-22 메가존빌딩
KCOEFPO23N000000763,문화시설_교육_시니어,키드잡평생교육원,서울특별시,구로구,서울특별시 구로구 구일로 110 (구로동),서울특별시 구로구 구로동 642-108 해원리버파크
KCOEFPO23N000000770,문화시설_교육_시니어,구로평생교육원,서울특별시,구로구,"서울특별시 구로구 구로중앙로 134 (구로동, 신구로자이나인스에비뉴)",서울특별시 구로구 구로동 501 신구로자이나인스에비뉴
KCOEFPO23N000000776,문화시설_교육_시니어,동작평생교육원,서울특별시,동작구,서울특별시 동작구 상도로37길 60 (상도동),서울특별시 동작구 상도동 467-1 한승빌딩
KCOEFPO23N000000780,문화시설_교육_시니어,마이평생교육원,서울특별시,서초구,서울특별시 서초구 서초대로19길 1 (방배동),서울특별시 서초구 방배동 871-7 예은빌딩
KCOEFPO23N000000784,문화시설_교육_시니어,진흥원격평생교육원,서울특별시,동대문구,서울특별시 동대문구 왕산로 61 (용두동),서울특별시 동대문구 용두동 231-10
KCOEFPO23N000000786,문화시설_교육_시니어,한교원격평생교육원,서울특별시,강북구,서울특별시 강북구 덕릉로 115 (번동),서울특별시 강북구 번동 443-113 승진빌딩
