ESNTL_ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ROAD_NM_CD,FCLTY_ROAD_NM_ADDR,LNM_ADDR,ADDR_ENG_NM,ADSTRD_CD,BULD_NM,BULD_MANAGE_CD,TEL_NO,ZIP_NO,HMPG_URL,FCLTY_LA,FCLTY_LO,ORIGIN_NM,ADIT_DC,UPDT_DT,REGIST_DT
KCOEFPO23N000000488,문화시설,문화시설_교육_시니어,위더스원격평생교육원,11,서울특별시,11650,서초구,1165010800,,116504163432,서울특별시 서초구 서초대로73길 12 (서초동),서울특별시 서초구 서초동 1317-31 세계빌딩,"12 Seocho-daero 73-gil, Seocho-gu, Seoul",1165010800,세계빌딩,1165010800113170032020012,,06615,,37.49859253,127.0257184,공공데이터,-,20231231,20231231
KCOEFPO23N000000489,문화시설,문화시설_교육_시니어,유한대학교평생교육원,41,경기도,41190,부천시 소사구,4119011300,,411943000028,경기도 부천시 소사구 경인로 580 (괴안동),경기도 부천시 소사구 괴안동 185-2,"580 Gyeongin-ro, Sosa-gu, Bucheon-si, Gyeonggi-do",4119410400,,4119710400101850002027027,,14780,,37.48720853,126.8190974,공공데이터,-,20231231,20231231
KCOEFPO23N000000490,문화시설,문화시설_교육_시니어,이그린원격평생교육원,11,서울특별시,11680,강남구,1168010100,,116804166749,서울특별시 강남구 테헤란로5길 24 (역삼동),서울특별시 강남구 역삼동 635-10,"24 Teheran-ro 5-gil, Gangnam-gu, Seoul",1168010100,,1168010100106350017000001,,06130,,37.50017677,127.0290771,공공데이터,-,20231231,20231231
KCOEFPO23N000000491,문화시설,문화시설_교육_시니어,인제대학교평생교육원,48,경상남도,48250,김해시,4825011800,,482503335051,경상남도 김해시 인제로 197 (어방동),경상남도 김해시 어방동 607 인제대학교,"197 Inje-ro, Gimhae-si, Gyeongsangnam-do",4825011800,인제대학교,4825011800200650000043155,,50834,,35.24813399,128.9027614,공공데이터,-,20231231,20231231
KCOEFPO23N000000492,문화시설,문화시설_교육_시니어,인하대학교평생교육원,28,인천광역시,28177,미추홀구,2817710300,,281773008011,인천광역시 미추홀구 인하로 100 (용현동),"인천광역시 미추홀구 용현동 253-5 인하대,인하공전,정석항공고","100 Inha-ro, Michuhol-gu, Incheon",2817710200,"인하대,인하공전,정석항공고",2817010200102010000000002,,22212,,37.44729573,126.6541938,공공데이터,-,20231231,20231231
KCOEFPO23N000000493,문화시설,문화시설_교육_시니어,장안대학교평생교육원,41,경기도,41590,화성시,4159025321,상리,415903012004,경기도 화성시 봉담읍 삼천병마로 1182,경기도 화성시 봉담읍 상리 460 장안대학,"1182 Samcheonbyeongma-ro, Bongdam-eup, Hwaseong-si, Gyeonggi-do",4159025321,장안대학,4159025321104590038026858,,18331,,37.21321791,126.9475771,공공데이터,-,20231231,20231231
KCOEFPO23N000000494,문화시설,문화시설_교육_시니어,전북EPS평생교육원,45,전북특별자치도,45111,전주시 완산구,4511114000,,521112266003,전북특별자치도 전주시 완산구 백제대로 135 (효자동1가),전북특별자치도 전주시 완산구 효자동1가 549-6,"135 Baekje-daero, Wansan-gu, Jeonju-si, Jeonbuk-do",5211114000,,4511114000105490006027931,,55082,,35.80488801,127.12327,공공데이터,-,20231231,20231231
KCOEFPO23N000000495,문화시설,문화시설_교육_시니어,전주시평생교육원원장,45,전북특별자치도,45111,전주시 완산구,4511112200,,521114598035,전북특별자치도 전주시 완산구 곤지산4길 12 (동완산동),전북특별자치도 전주시 완산구 동완산동 464-1 전주시립도서관,"12 Gonjisan 4-gil, Wansan-gu, Jeonju-si, Jeonbuk-do",5211112200,전주시립도서관,4511112200104640001007845,,55098,,35.80925352,127.1475768,공공데이터,-,20231231,20231231
KCOEFPO23N000000496,문화시설,문화시설_교육_시니어,중부대학교평생교육원,44,충청남도,44710,금산군,4471039023,마전리,447103257060,충청남도 금산군 추부면 대학로 201,충청남도 금산군 추부면 마전리 765 중부대학교,"201 Daehak-ro, Chubu-myeon, Geumsan-gun, Chungcheongnam-do",4471039023,중부대학교,4471039023107550000041229,,32713,,36.19294113,127.4501711,공공데이터,-,20231231,20231231
KCOEFPO23N000000497,문화시설,문화시설_교육_시니어,중앙독립문평생교육원,11,서울특별시,11380,은평구,1138010400,,113804133328,서울특별시 은평구 통일로87길 19-1 (갈현동),서울특별시 은평구 갈현동 425-3,"19-1 Tongil-ro 87-gil, Eunpyeong-gu, Seoul",1138010400,,1138010400104250003034569,,03329,,37.62335097,126.917413,공공데이터,-,20231231,20231231
KCOEFPO23N000000498,문화시설,문화시설_교육_시니어,창원스피치평생교육원,48,경상남도,48129,창원시 진해구,4812914200,,481292000030,경상남도 창원시 진해구 진해대로 916 (자은동),경상남도 창원시 진해구 자은동 923-11 자은대성학원,"916 Jinhae-daero, Jinhae-gu, Changwon-si, Gyeongsangnam-do",4812914200,자은대성학원,4812914200109230011019697,,51647,,35.14790206,128.7067463,문화정보원,-,20231231,20231231
